,polygon_ratio
/Users/huamuxin/Documents/fastai-test/Original Data/Annotations/a2-by-aerosoles-persimmon-black_product_9174980_color_3.xml,0.6955005098513293
/Users/huamuxin/Documents/fastai-test/Original Data/Annotations/acorn-acorn-moc-summerweight-stonewash-black-canvas_product_8490840_color_580306.xml,0.5197464346715176
/Users/huamuxin/Documents/fastai-test/Original Data/Annotations/acorn-acorn-moc-summerweight-stonewash-black-canvas_product_8490840_color_580306.xml,0.11081633453339508
/Users/huamuxin/Documents/fastai-test/Original Data/Annotations/acorn-acorn-moc-summerweight-toast-canvas_product_8490840_color_606028.xml,0.32905293804764707
/Users/huamuxin/Documents/fastai-test/Original Data/Annotations/acorn-acorn-moc-summerweight-toast-canvas_product_8490840_color_606028.xml,0.2451560641483122
/Users/huamuxin/Documents/fastai-test/Original Data/Annotations/acorn-acorn-moc-summerweight-toast-canvas_product_8490840_color_606028.xml,0.9434193548387096
/Users/huamuxin/Documents/fastai-test/Original Data/Annotations/acorn-acorn-moc-summerweight-toast-canvas_product_8490840_color_606028.xml,0.9202037351443124
/Users/huamuxin/Documents/fastai-test/Original Data/Annotations/acorn-acorn-moc-summerweight-toast-canvas_product_8490840_color_606028.xml,0.9125636672325976
/Users/huamuxin/Documents/fastai-test/Original Data/Annotations/acorn-acorn-moc-summerweight-toast-canvas_product_8490840_color_606028.xml,0.95
/Users/huamuxin/Documents/fastai-test/Original Data/Annotations/acorn-acorn-moc-summerweight-toast-canvas_product_8490840_color_606028.xml,0.9063852813852814
/Users/huamuxin/Documents/fastai-test/Original Data/Annotations/acorn-acorn-moc-summerweight-toast-canvas_product_8490840_color_606028.xml,0.9624649073554183
/Users/huamuxin/Documents/fastai-test/Original Data/Annotations/acorn-acorn-moc-summerweight-toast-canvas_product_8490840_color_606028.xml,0.9663892078071182
/Users/huamuxin/Documents/fastai-test/Original Data/Annotations/acorn-acorn-moc-summerweight-toast-canvas_product_8490840_color_606028.xml,0.9711327551164148
/Users/huamuxin/Documents/fastai-test/Original Data/Annotations/acorn-acorn-moc-summerweight-toast-canvas_product_8490840_color_606028.xml,0.9233863170514754
/Users/huamuxin/Documents/fastai-test/Original Data/Annotations/acorn-acorn-moc-summerweight-toast-canvas_product_8490840_color_606028.xml,0.9532956443530772
/Users/huamuxin/Documents/fastai-test/Original Data/Annotations/acorn-acorn-moc-summerweight-toast-canvas_product_8490840_color_606028.xml,0.9560044385993753
/Users/huamuxin/Documents/fastai-test/Original Data/Annotations/acorn-acorn-moc-summerweight-toast-canvas_product_8490840_color_606028.xml,0.9565857247976454
/Users/huamuxin/Documents/fastai-test/Original Data/Annotations/acorn-acorn-moc-summerweight-toast-canvas_product_8490840_color_606028.xml,0.9725
/Users/huamuxin/Documents/fastai-test/Original Data/Annotations/acorn-acorn-moc-summerweight-toast-canvas_product_8490840_color_606028.xml,0.9410384936700726
/Users/huamuxin/Documents/fastai-test/Original Data/Annotations/acorn-acorn-moc-wooly-stripes_product_8363987_color_765295.xml,0.24963230877210732
/Users/huamuxin/Documents/fastai-test/Original Data/Annotations/acorn-jam-tassel-boot-boysenberry_product_9084365_color_4884.xml,0.4773700305810398
/Users/huamuxin/Documents/fastai-test/Original Data/Annotations/acorn-jam-tassel-boot-boysenberry_product_9084365_color_4884.xml,0.41975180793593264
/Users/huamuxin/Documents/fastai-test/Original Data/Annotations/acorn-new-spa-thong-azalea_product_7149932_color_22446.xml,0.7724864864864864
/Users/huamuxin/Documents/fastai-test/Original Data/Annotations/acorn-new-spa-thong-azalea_product_7149932_color_22446.xml,0.8516789516789517
/Users/huamuxin/Documents/fastai-test/Original Data/Annotations/acorn-new-spa-thong-azalea_product_7149932_color_22446.xml,0.8210246174318031
/Users/huamuxin/Documents/fastai-test/Original Data/Annotations/acorn-new-spa-thong-azalea_product_7149932_color_22446.xml,0.7924489795918367
/Users/huamuxin/Documents/fastai-test/Original Data/Annotations/acorn-new-spa-thong-azalea_product_7149932_color_22446.xml,0.30132450331125826
/Users/huamuxin/Documents/fastai-test/Original Data/Annotations/acorn-new-spa-thong-azalea_product_7149932_color_22446.xml,0.9837720879913451
/Users/huamuxin/Documents/fastai-test/Original Data/Annotations/acorn-new-spa-thong-azalea_product_7149932_color_22446.xml,0.28799840510366825
/Users/huamuxin/Documents/fastai-test/Original Data/Annotations/acorn-new-spa-thong-azalea_product_7149932_color_22446.xml,0.7758397932816538
/Users/huamuxin/Documents/fastai-test/Original Data/Annotations/acorn-new-spa-thong-azalea_product_7149932_color_22446.xml,0.8081546458739441
/Users/huamuxin/Documents/fastai-test/Original Data/Annotations/acorn-new-spa-thong-azalea_product_7149932_color_22446.xml,0.7153679653679653
/Users/huamuxin/Documents/fastai-test/Original Data/Annotations/acorn-new-spa-thong-azalea_product_7149932_color_22446.xml,0.6339535814325731
/Users/huamuxin/Documents/fastai-test/Original Data/Annotations/acorn-new-spa-thong-azalea_product_7149932_color_22446.xml,0.7261513157894737
/Users/huamuxin/Documents/fastai-test/Original Data/Annotations/acorn-new-spa-thong-natural-fabric-270_product_7149932_color_145332.xml,0.30839296362552177
/Users/huamuxin/Documents/fastai-test/Original Data/Annotations/acorn-new-spa-thong-pink-fabric_product_7149932_color_1728.xml,0.32923766426689477
/Users/huamuxin/Documents/fastai-test/Original Data/Annotations/acorn-new-spa-thong-pink-fabric_product_7149932_color_1728.xml,0.17798442203380646
/Users/huamuxin/Documents/fastai-test/Original Data/Annotations/adidas-adilette-black-white_product_7517877_color_151.xml,0.41535019632910236
/Users/huamuxin/Documents/fastai-test/Original Data/Annotations/adidas-adilette-cf-black-white-black_product_8991661_color_11196.xml,0.9429374389051809
/Users/huamuxin/Documents/fastai-test/Original Data/Annotations/adidas-adilette-cf-black-white-black_product_8991661_color_11196.xml,0.9448780487804878
/Users/huamuxin/Documents/fastai-test/Original Data/Annotations/adidas-adilette-cf-black-white-black_product_8991661_color_11196.xml,0.6534992521796228
/Users/huamuxin/Documents/fastai-test/Original Data/Annotations/adidas-adilette-cf-navy-white-navy_product_8991661_color_39979.xml,0.6349124316458693
/Users/huamuxin/Documents/fastai-test/Original Data/Annotations/adidas-adilette-cf-navy-white-navy_product_8991661_color_39979.xml,0.8297000924824944
/Users/huamuxin/Documents/fastai-test/Original Data/Annotations/adidas-by-stella-mccartney-ultraboost-uncaged-white-white-stone-grey_product_9135889_color_780838.xml,0.6017142579642579
/Users/huamuxin/Documents/fastai-test/Original Data/Annotations/adidas-copa-18-3-fg-solar-red-black-solar-yellow_product_8970719_color_560971.xml,0.44781854593570075
/Users/huamuxin/Documents/fastai-test/Original Data/Annotations/adidas-copa-18-3-fg-solar-red-black-solar-yellow_product_8970719_color_560971.xml,0.4333188594586771
/Users/huamuxin/Documents/fastai-test/Original Data/Annotations/adidas-golf-adipower-s-boost-3-ftwr-white-silver-metallic-light-onix_product_8824620_color_669897.xml,0.5953545718490236
/Users/huamuxin/Documents/fastai-test/Original Data/Annotations/adidas-golf-adipower-s-boost-3-ftwr-white-silver-metallic-light-onix_product_8824620_color_669897.xml,0.8891731753299219
/Users/huamuxin/Documents/fastai-test/Original Data/Annotations/adidas-golf-adipower-s-boost-3-ftwr-white-silver-metallic-light-onix_product_8824620_color_669897.xml,0.805894777265745
/Users/huamuxin/Documents/fastai-test/Original Data/Annotations/adidas-golf-adipower-s-boost-3-ftwr-white-silver-metallic-light-onix_product_8824620_color_669897.xml,0.7977207977207977
/Users/huamuxin/Documents/fastai-test/Original Data/Annotations/adidas-golf-adipower-s-boost-3-ftwr-white-silver-metallic-light-onix_product_8824620_color_669897.xml,0.503015873015873
/Users/huamuxin/Documents/fastai-test/Original Data/Annotations/adidas-golf-adipower-s-boost-3-ftwr-white-silver-metallic-light-onix_product_8824620_color_669897.xml,0.7953040337146298
/Users/huamuxin/Documents/fastai-test/Original Data/Annotations/adidas-golf-adipower-s-boost-3-ftwr-white-silver-metallic-light-onix_product_8824620_color_669897.xml,0.5652472527472527
/Users/huamuxin/Documents/fastai-test/Original Data/Annotations/adidas-golf-adipower-s-boost-3-ftwr-white-silver-metallic-light-onix_product_8824620_color_669897.xml,0.9052746566791511
/Users/huamuxin/Documents/fastai-test/Original Data/Annotations/adidas-golf-adipower-s-boost-3-ftwr-white-silver-metallic-light-onix_product_8824620_color_669897.xml,0.9539489171374764
/Users/huamuxin/Documents/fastai-test/Original Data/Annotations/adidas-golf-adipower-s-boost-3-ftwr-white-silver-metallic-light-onix_product_8824620_color_669897.xml,0.9818758898908401
/Users/huamuxin/Documents/fastai-test/Original Data/Annotations/adidas-golf-adipower-s-boost-3-ftwr-white-silver-metallic-light-onix_product_8824620_color_669897.xml,0.8026860142019142
/Users/huamuxin/Documents/fastai-test/Original Data/Annotations/adidas-golf-adipower-s-boost-3-ftwr-white-silver-metallic-light-onix_product_8824620_color_669897.xml,0.6002197802197802
/Users/huamuxin/Documents/fastai-test/Original Data/Annotations/adidas-golf-adipower-s-boost-3-ftwr-white-silver-metallic-light-onix_product_8824620_color_669897.xml,0.5323206205559147
/Users/huamuxin/Documents/fastai-test/Original Data/Annotations/adidas-golf-adipower-s-boost-3-ftwr-white-silver-metallic-light-onix_product_8824620_color_669897.xml,0.5107142857142857
/Users/huamuxin/Documents/fastai-test/Original Data/Annotations/adidas-golf-adipower-s-boost-3-ftwr-white-silver-metallic-light-onix_product_8824620_color_669897.xml,0.5078485687903971
/Users/huamuxin/Documents/fastai-test/Original Data/Annotations/adidas-golf-adipower-s-boost-3-ftwr-white-silver-metallic-light-onix_product_8824620_color_669897.xml,0.9854269293924466
/Users/huamuxin/Documents/fastai-test/Original Data/Annotations/adidas-golf-adipower-s-boost-3-ftwr-white-silver-metallic-light-onix_product_8824620_color_669897.xml,0.8822709463532248
/Users/huamuxin/Documents/fastai-test/Original Data/Annotations/adidas-golf-adipower-s-boost-3-ftwr-white-silver-metallic-light-onix_product_8824620_color_669897.xml,0.5032496840584944
/Users/huamuxin/Documents/fastai-test/Original Data/Annotations/adidas-golf-adipower-s-boost-3-ftwr-white-silver-metallic-light-onix_product_8824620_color_669897.xml,0.5073195526940021
/Users/huamuxin/Documents/fastai-test/Original Data/Annotations/adidas-golf-adipower-s-boost-3-ftwr-white-silver-metallic-light-onix_product_8824620_color_669897.xml,0.5014457057185693
/Users/huamuxin/Documents/fastai-test/Original Data/Annotations/adidas-golf-adipower-s-boost-3-ftwr-white-silver-metallic-light-onix_product_8824620_color_669897.xml,0.8208054753333069
/Users/huamuxin/Documents/fastai-test/Original Data/Annotations/adidas-golf-adipure-sp-footwear-white-footwear-white-grey-two_product_9001026_color_690850.xml,0.442865996419226
/Users/huamuxin/Documents/fastai-test/Original Data/Annotations/adidas-golf-pure-boost-xg-grey-two-footwear-white-night-metallic_product_9001074_color_734433.xml,0.5807251908396946
/Users/huamuxin/Documents/fastai-test/Original Data/Annotations/adidas-kids-adilette-clf-adj-toddler-little-kid-big-kid-black-white_product_8987203_color_151.xml,0.25267899802061294
/Users/huamuxin/Documents/fastai-test/Original Data/Annotations/adidas-kids-adilette-clf-adj-toddler-little-kid-big-kid-black-white_product_8987203_color_151.xml,0.537463976945245
/Users/huamuxin/Documents/fastai-test/Original Data/Annotations/adidas-kids-adissage-toddler-little-kid-big-kid-white-chalk-pink_product_8809441_color_721789.xml,0.6434405940594059
/Users/huamuxin/Documents/fastai-test/Original Data/Annotations/adidas-kids-fortarun-little-kid-big-kid-hi-res-red-white-hi-res-orange_product_8808090_color_728074.xml,0.7202639377024327
/Users/huamuxin/Documents/fastai-test/Original Data/Annotations/adidas-kids-icon-md-k-baseball-toddler-little-kid-big-kid-white-silver-grey_product_8948536_color_26424.xml,0.5627935073272572
/Users/huamuxin/Documents/fastai-test/Original Data/Annotations/adidas-kids-icon-md-k-baseball-toddler-little-kid-big-kid-white-silver-grey_product_8948536_color_26424.xml,0.6368911490932435
/Users/huamuxin/Documents/fastai-test/Original Data/Annotations/adidas-kids-nemeziz-tango-18-4-in-soccer-little-kid-big-kid-zest-black-solar-red_product_9044776_color_748693.xml,0.5721543162719633
/Users/huamuxin/Documents/fastai-test/Original Data/Annotations/adidas-kids-nemeziz-tango-18-4-in-soccer-little-kid-big-kid-zest-black-solar-red_product_9044776_color_748693.xml,0.9282436378806842
/Users/huamuxin/Documents/fastai-test/Original Data/Annotations/adidas-kids-nemeziz-tango-18-4-in-soccer-little-kid-big-kid-zest-black-solar-red_product_9044776_color_748693.xml,0.954070758738278
/Users/huamuxin/Documents/fastai-test/Original Data/Annotations/adidas-kids-pro-spark-basketball-little-kid-big-kid-white-black-grey_product_9070589_color_1858.xml,0.4822404371584699
/Users/huamuxin/Documents/fastai-test/Original Data/Annotations/adidas-kids-pro-spark-basketball-little-kid-big-kid-white-black-grey_product_9070589_color_1858.xml,0.4840527718968086
/Users/huamuxin/Documents/fastai-test/Original Data/Annotations/adidas-kids-rapidarun-knit-little-kid-black-raw-gold_product_8987198_color_725026.xml,0.6656840266404629
/Users/huamuxin/Documents/fastai-test/Original Data/Annotations/adidas-kids-rapidarun-knit-little-kid-black-raw-gold_product_8987198_color_725026.xml,0.6140265630061549
/Users/huamuxin/Documents/fastai-test/Original Data/Annotations/adidas-kids-rapidarun-knit-little-kid-grey-white_product_8987198_color_1522.xml,0.5176187729541388
/Users/huamuxin/Documents/fastai-test/Original Data/Annotations/adidas-kids-rapidarun-knit-toddler-black-raw-gold_product_8987200_color_725026.xml,0.6903855434607754
/Users/huamuxin/Documents/fastai-test/Original Data/Annotations/adidas-kids-rapidarun-knit-toddler-black-raw-gold_product_8987200_color_725026.xml,0.5675031880849836
/Users/huamuxin/Documents/fastai-test/Original Data/Annotations/adidas-kids-rapidarun-knit-toddler-grey-white_product_8987200_color_1522.xml,0.551263628127831
